DATA_DATE,FUELSUP,ENERGY_GWH,TIMESTAMP
12/25/2019 0:00,น้ำมันปาล์ม,0,12/26/2019 13:30
12/26/2019 0:00,น้ำมันปาล์ม,0,12/27/2019 13:30
12/27/2019 0:00,น้ำมันปาล์ม,0,12/28/2019 13:30
12/28/2019 0:00,น้ำมันปาล์ม,0,12/29/2019 13:30
12/29/2019 0:00,น้ำมันปาล์ม,0,12/30/2019 13:30
12/30/2019 0:00,น้ำมันปาล์ม,0,12/31/2019 13:30
12/31/2019 0:00,น้ำมันปาล์ม,0,1/1/2020 13:30
1/1/2020 0:00,น้ำมันปาล์ม,0,1/2/2020 13:30
1/2/2020 0:00,น้ำมันปาล์ม,0,1/3/2020 13:30
1/3/2020 0:00,น้ำมันปาล์ม,0,1/4/2020 13:30
1/4/2020 0:00,น้ำมันปาล์ม,0,1/5/2020 13:30
1/5/2020 0:00,น้ำมันปาล์ม,0,1/6/2020 13:30
1/6/2020 0:00,น้ำมันปาล์ม,0,1/7/2020 13:30
1/7/2020 0:00,น้ำมันปาล์ม,0,1/8/2020 13:30
1/8/2020 0:00,น้ำมันปาล์ม,0,1/9/2020 13:30
1/9/2020 0:00,น้ำมันปาล์ม,0,1/10/2020 13:30
1/10/2020 0:00,น้ำมันปาล์ม,0,1/11/2020 13:30
1/11/2020 0:00,น้ำมันปาล์ม,0,1/12/2020 13:30
1/12/2020 0:00,น้ำมันปาล์ม,0,1/13/2020 13:30
1/13/2020 0:00,น้ำมันปาล์ม,0,1/14/2020 13:30
1/14/2020 0:00,น้ำมันปาล์ม,0,1/15/2020 13:30
1/15/2020 0:00,น้ำมันปาล์ม,0,1/16/2020 13:30
1/16/2020 0:00,น้ำมันปาล์ม,0,1/17/2020 13:30
1/17/2020 0:00,น้ำมันปาล์ม,0,1/18/2020 13:30
1/18/2020 0:00,น้ำมันปาล์ม,0,1/19/2020 13:30
1/19/2020 0:00,น้ำมันปาล์ม,0,1/20/2020 13:30
1/20/2020 0:00,น้ำมันปาล์ม,0,1/21/2020 13:30
1/21/2020 0:00,น้ำมันปาล์ม,0,1/22/2020 13:30
1/22/2020 0:00,น้ำมันปาล์ม,0,1/23/2020 6:00
1/23/2020 0:00,น้ำมันปาล์ม,0,1/24/2020 13:30
1/24/2020 0:00,น้ำมันปาล์ม,0,1/25/2020 13:30
1/25/2020 0:00,น้ำมันปาล์ม,0,1/26/2020 13:30
1/26/2020 0:00,น้ำมันปาล์ม,0,1/27/2020 13:30
1/27/2020 0:00,น้ำมันปาล์ม,0,1/28/2020 13:30
1/28/2020 0:00,น้ำมันปาล์ม,0,1/29/2020 13:30
1/29/2020 0:00,น้ำมันปาล์ม,0,1/30/2020 13:30
1/30/2020 0:00,น้ำมันปาล์ม,0,1/31/2020 13:30
1/31/2020 0:00,น้ำมันปาล์ม,0,2/1/2020 13:30
2/1/2020 0:00,น้ำมันปาล์ม,0,2/2/2020 13:30
2/2/2020 0:00,น้ำมันปาล์ม,0,2/3/2020 13:30
2/3/2020 0:00,น้ำมันปาล์ม,0,2/4/2020 13:30
2/4/2020 0:00,น้ำมันปาล์ม,0,2/5/2020 13:30
2/5/2020 0:00,น้ำมันปาล์ม,0,2/6/2020 13:30
2/6/2020 0:00,น้ำมันปาล์ม,0,2/7/2020 13:30
2/7/2020 0:00,น้ำมันปาล์ม,0,2/8/2020 13:30
2/8/2020 0:00,น้ำมันปาล์ม,0,2/9/2020 13:30
2/9/2020 0:00,น้ำมันปาล์ม,0,2/10/2020 13:30
2/10/2020 0:00,น้ำมันปาล์ม,0,2/11/2020 13:30
2/11/2020 0:00,น้ำมันปาล์ม,0,2/12/2020 13:30
2/12/2020 0:00,น้ำมันปาล์ม,0,2/13/2020 13:30
2/13/2020 0:00,น้ำมันปาล์ม,0,2/14/2020 13:30
2/14/2020 0:00,น้ำมันปาล์ม,0,2/15/2020 13:30
2/15/2020 0:00,น้ำมันปาล์ม,0,2/16/2020 13:30
2/16/2020 0:00,น้ำมันปาล์ม,0,2/17/2020 13:30
2/17/2020 0:00,น้ำมันปาล์ม,0,2/18/2020 13:30
3/5/2020 0:00,น้ำมันปาล์ม,0,3/6/2020 13:30
3/6/2020 0:00,น้ำมันปาล์ม,0,3/7/2020 13:30
3/7/2020 0:00,น้ำมันปาล์ม,0,3/8/2020 13:30
3/8/2020 0:00,น้ำมันปาล์ม,0,3/9/2020 13:30
3/9/2020 0:00,น้ำมันปาล์ม,0,3/10/2020 13:30
3/10/2020 0:00,น้ำมันปาล์ม,0,3/11/2020 13:30
3/11/2020 0:00,น้ำมันปาล์ม,0,3/12/2020 13:30
3/12/2020 0:00,น้ำมันปาล์ม,0,3/13/2020 13:30
3/13/2020 0:00,น้ำมันปาล์ม,0,3/14/2020 13:30
3/14/2020 0:00,น้ำมันปาล์ม,0,3/15/2020 13:30
3/15/2020 0:00,น้ำมันปาล์ม,0,3/16/2020 13:30
3/16/2020 0:00,น้ำมันปาล์ม,0,3/17/2020 13:30
3/17/2020 0:00,น้ำมันปาล์ม,0,3/18/2020 13:30
3/18/2020 0:00,น้ำมันปาล์ม,0,3/19/2020 13:30
3/19/2020 0:00,น้ำมันปาล์ม,0,3/20/2020 13:30
3/20/2020 0:00,น้ำมันปาล์ม,0,3/21/2020 13:30
3/21/2020 0:00,น้ำมันปาล์ม,0,3/22/2020 13:30
3/22/2020 0:00,น้ำมันปาล์ม,0,3/23/2020 13:30
3/23/2020 0:00,น้ำมันปาล์ม,0,3/24/2020 13:30
3/24/2020 0:00,น้ำมันปาล์ม,0,3/25/2020 13:30
3/25/2020 0:00,น้ำมันปาล์ม,0,3/26/2020 13:30
3/26/2020 0:00,น้ำมันปาล์ม,0,3/27/2020 13:30
3/27/2020 0:00,น้ำมันปาล์ม,0,3/28/2020 13:30
3/28/2020 0:00,น้ำมันปาล์ม,0,3/29/2020 13:30
3/29/2020 0:00,น้ำมันปาล์ม,0,3/30/2020 13:30
3/30/2020 0:00,น้ำมันปาล์ม,0,3/31/2020 13:30
3/31/2020 0:00,น้ำมันปาล์ม,0,4/1/2020 13:30
4/1/2020 0:00,น้ำมันปาล์ม,0,4/2/2020 13:30
4/2/2020 0:00,น้ำมันปาล์ม,0,4/3/2020 13:30
4/3/2020 0:00,น้ำมันปาล์ม,0,4/4/2020 13:30
4/4/2020 0:00,น้ำมันปาล์ม,0,4/5/2020 13:30
4/5/2020 0:00,น้ำมันปาล์ม,0,4/6/2020 13:30
4/6/2020 0:00,น้ำมันปาล์ม,0,4/7/2020 13:30
4/7/2020 0:00,น้ำมันปาล์ม,0,4/8/2020 13:30
4/8/2020 0:00,น้ำมันปาล์ม,0,4/9/2020 13:30
4/9/2020 0:00,น้ำมันปาล์ม,0,4/10/2020 13:30
4/10/2020 0:00,น้ำมันปาล์ม,0,4/11/2020 13:30
4/11/2020 0:00,น้ำมันปาล์ม,0,4/12/2020 13:30
4/12/2020 0:00,น้ำมันปาล์ม,0,4/13/2020 13:30
4/13/2020 0:00,น้ำมันปาล์ม,0,4/14/2020 13:30
4/14/2020 0:00,น้ำมันปาล์ม,0,4/15/2020 13:30
4/15/2020 0:00,น้ำมันปาล์ม,0,4/16/2020 13:30
4/16/2020 0:00,น้ำมันปาล์ม,0,4/17/2020 13:30
4/17/2020 0:00,น้ำมันปาล์ม,0,4/18/2020 13:30
4/18/2020 0:00,น้ำมันปาล์ม,0,4/19/2020 13:30
4/19/2020 0:00,น้ำมันปาล์ม,0,4/20/2020 13:30
4/20/2020 0:00,น้ำมันปาล์ม,0,4/21/2020 13:30
4/21/2020 0:00,น้ำมันปาล์ม,0,4/22/2020 13:30
4/22/2020 0:00,น้ำมันปาล์ม,0,4/23/2020 13:30
4/23/2020 0:00,น้ำมันปาล์ม,0,4/24/2020 13:30
4/24/2020 0:00,น้ำมันปาล์ม,0,4/25/2020 13:30
4/25/2020 0:00,น้ำมันปาล์ม,0,4/26/2020 13:30
4/26/2020 0:00,น้ำมันปาล์ม,0,4/27/2020 13:30
4/27/2020 0:00,น้ำมันปาล์ม,0,4/28/2020 13:30
